Entrée,partie du discours,Terme relié,partie du discours,relation
abate,VV,abatement,NN,DRV
abate,,abatement,,FRM
abate,,accelerate,,FRM
abate,,amplify,,FRM
abate,,intensify,,FRM
abate,VV,mitigate,VV,QSYN
abate,,mitigate,,FRM
abate,,mitigation,,FRM
abate,VV,reduce,VV,QSYN
abatement,NN,abate,VV,DRV
abatement,,abate,,FRM
abatement,,accelerate,,FRM
abatement,,amplify,,FRM
abatement,,intensify,,FRM
abatement,,mitigate,,FRM
abatement,,mitigation,,FRM
abatement,NN,reduction,NN,QSYN
absorb,VV,absorption,NN,DRV
absorb,,absorption,,FRM
absorb,VV,emit,VV,ANTI
absorb,VV,radiate,VV,ANTI
absorb,VV,reflect,VV,ANTI
absorb,VV,store,VV,QSYN
absorb,VV,trap,VV,QSYN
absorb,,uptake,,FRM
absorption,NN,absorb,VV,DRV
absorption,,absorb,,FRM
absorption,NN,emission,NN,ANTI
absorption,NN,release,NN,ANTI
absorption,NN,uptake,NN,QSYN
absorption,,uptake,,FRM
accelerate,,abate,,FRM
accelerate,,abatement,,FRM
accelerate,VV,acceleration,NN,DRV
accelerate,,acceleration,,FRM
accelerate,VV,amplify,VV,QSYN
accelerate,,amplify,,FRM
accelerate,VV,increase,VV,QSYN
accelerate,,intensification,,FRM
accelerate,VV,intensify,VV,QSYN
accelerate,,intensify,,FRM
accelerate,,mitigate,,FRM
accelerate,,mitigation,,FRM
accelerate,VV,rise,VV,QSYN
acceleration,NN,accelerate,VV,DRV
acceleration,,accelerate,,FRM
acceleration,NN,increase,NN,QSYN
acceleration,NN,intensification,NN,QSYN
acceleration,,intensification,,FRM
acceleration,,intensify,,FRM
accumulate,VV,accumulation,NN,DRV
accumulate,,accumulation,,FRM
accumulate,,concentration,,FRM
accumulation,NN,accumulate,VV,DRV
accumulation,,accumulate,,FRM
accumulation,,concentration,,FRM
acidification,NN,acidify,VV,DRV
acidification,,acidify,,FRM
acidification,,contaminate,,FRM
acidification,NN,contamination,NN,QSYN
acidification,,pollute,,FRM
acidification,NN,pollution,NN,QSYN
acidify,VV,acidification,NN,DRV
acidify,,acidification,,FRM
acidify,VV,contaminate,VV,QSYN
acidify,,contaminate,,FRM
acidify,VV,pollute,VV,QSYN
acidify,,pollute,,FRM
activity,NN,event,NN,QSYN
adapt,VV,adaptation,NN,DRV
adapt,,adaptation,,FRM
adaptation,NN,adapt,VV,DRV
adaptation,,adapt,,FRM
adaptive,JJ,adapt,VV,DRV
adaptive,JJ,adaptation,NN,DRV
aerobic,JJ,anaerobic,JJ,ANTI
affect,,effect,,FRM
affect,,impact,,FRM
affect,,influence,,FRM
afforestation,NN,deforestation,NN,ANTI
afforestation,,reforest,,FRM
afforestation,NN,reforestation,NN,QSYN
afforestation,,reforestation,,FRM
agricultural,JJ,agriculture,NN,DRV
agriculture,NN,agricultural,JJ,DRV
agriculture,,cultivate,,FRM
agriculture,NN,farming,NN,QSYN
albedo,NN,reflectivity,NN,QSYN
alter,VV,alteration,NN,DRV
alter,,alteration,,FRM
alter,VV,change,VV,QSYN
alter,,change,,FRM
alter,VV,damage,VV,QSYN
alter,VV,degrade,VV,QSYN
alter,VV,deteriorate,VV,QSYN
alter,,perturbation,,FRM
alteration,NN,alter,VV,DRV
alteration,,alter,,FRM
alteration,,change,,FRM
alteration,NN,deterioration,NN,QSYN
alteration,,perturbation,,FRM
alternative,JJ,clean,JJ,QSYN
alternative,JJ,green,JJ,QSYN
alternative,JJ,pure,JJ,QSYN
alternative,JJ,smart,JJ,QSYN
amplify,,abate,,FRM
amplify,,abatement,,FRM
amplify,VV,accelerate,VV,QSYN
amplify,,accelerate,,FRM
amplify,VV,amplification,NN,DRV
amplify,VV,decrease,VV,ANTI
amplify,VV,increase,VV,QSYN
amplify,VV,intensify,VV,QSYN
amplify,,intensify,,FRM
amplify,VV,mitigate,VV,ANTI
amplify,,mitigate,,FRM
amplify,,mitigation,,FRM
anaerobic,JJ,aerobic,JJ,ANTI
anthropogenic,JJ,human,JJ,QSYN
anthropogenic,JJ,human-induced,JJ,QSYN
anthropogenic,JJ,natural,JJ,ANTI
area,NN,region,NN,QSYN
arid,JJ,aridity,NN,DRV
arid,JJ,semi-arid,JJ,QSYN
assess,VV,assessment,NN,DRV
assess,,assessment,,FRM
assess,VV,estimate,VV,QSYN
assess,VV,evaluate,VV,QSYN
assessment,NN,assess,VV,DRV
assessment,,assess,,FRM
atmosphere,NN,air,NN,QSYN
automobile,NN,car,NN,QSYN
automobile,NN,truck,NN,QSYN
automobile,NN,vehicle,NN,HYP
bicycle,NN,bike,NN,QSYN
bicycle,NN,transportation,NN,HYP
bicycle,NN,vehicle,NN,HYP
bin,NN,container,NN,QSYN
biodiversity,NN,diversity,NN,HYP
biological,JJ,chemical,JJ,ANTI
biological,JJ,natural,JJ,QSYN
biological,JJ,organic,JJ,QSYN
biomass,NN,bioenergy,NN,HYP
biome,NN,ecosystem,NN,QSYN
biome,NN,tundra,NN,HYP
biosphere,NN,ecosystem,NN,QSYN
boiler,NN,heater,NN,QSYN
burn,VV,burning,NN,DRV
burning,NN,burn,VV,DRV
burning,NN,combustion,NN,QSYN
burning,NN,incineration,NN,QSYN
bus,NN,metro,NN,QSYN
bus,NN,train,NN,QSYN
bus,NN,transportation,NN,HYP
calculate,VV,calculation,NN,DRV
calculate,,calculation,,FRM
calculate,VV,estimate,VV,QSYN
calculation,NN,calculate,VV,DRV
calculation,,calculate,,FRM
calculation,NN,estimation,NN,QSYN
capture,VV,sequester,VV,QSYN
capture,,sequester,,FRM
capture,NN,sequestration,NN,QSYN
capture,,sequestration,,FRM
capture,NN,storage,NN,QSYN
car,NN,automobile,NN,QSYN
car,NN,truck,NN,QSYN
car,NN,vehicle,NN,HYP
carbon,NN,c,NN,QSYN
carbon,NN,gas,NN,HYP
carry,VV,commute,VV,ANTI
carry,,transportation,,FRM
carry,VV,travel,VV,ANTI
change,VV,alter,VV,QSYN
change,,alter,,FRM
change,,alteration,,FRM
change,VV,fluctuate,VV,QSYN
change,,fluctuate,,FRM
change,NN,fluctuation,NN,QSYN
change,,fluctuation,,FRM
change,,perturbation,,FRM
change,VV,shift,VV,QSYN
change,,shift,,FRM
change,VV,stabilize,VV,QSYN
change,NN,variation,NN,QSYN
change,,variation,,FRM
change,VV,vary,VV,QSYN
change,,vary,,FRM
charge,VV,discharge,VV,ANTI
charge,NN,recharge,NN,QSYN
charge,,recharge,,FRM
chemical,JJ,biological,JJ,ANTI
chemical,NN,dioxin,NN,HYP
chemical,JJ,natural,JJ,ANTI
chemical,NN,toxic,NN,HYP
clean,JJ,alternative,JJ,QSYN
clean,,environmental,,FRM
clean,JJ,green,JJ,QSYN
clean,,green,,FRM
clean,JJ,pure,JJ,QSYN
clean,JJ,smart,JJ,QSYN
clear,VV,clearing,NN,DRV
clear,,clearing,,FRM
clear,VV,deforest,VV,QSYN
clear,,deforest,,FRM
clear,,deforestation,,FRM
clearing,NN,clear,VV,DRV
clearing,,clear,,FRM
clearing,NN,clearance,NN,QSYN
clearing,,deforest,,FRM
clearing,NN,deforestation,NN,QSYN
clearing,,deforestation,,FRM
climate,NN,climatic,JJ,DRV
climate,NN,weather,NN,QSYN
climatic,JJ,meteorological,JJ,QSYN
climatologist,NN,meteorologist,NN,QSYN
coal,NN,carbon,NN,QSYN
coal,NN,fuel,NN,HYP
coal,NN,oil,NN,QSYN
coast,NN,coastal,JJ,DRV
coastal,JJ,coast,NN,DRV
coastal,JJ,terrestrial,JJ,QSYN
cold,JJ,cool,JJ,QSYN
cold,,cool,,FRM
cold,,temperature,,FRM
cold,JJ,warm,JJ,ANTI
cold,,warm,,FRM
collect,VV,collection,NN,DRV
collector,NN,panel,NN,QSYN
combustion,NN,burning,NN,QSYN
combustion,NN,incineration,NN,QSYN
commute,VV,carry,VV,ANTI
commute,,transit,,FRM
commute,VV,travel,VV,QSYN
commute,,travel,,FRM
compensate,VV,compensation,NN,DRV
compost,VV,digest,VV,QSYN
concentration,,accumulate,,FRM
concentration,,accumulation,,FRM
concentration,NN,level,NN,QSYN
connect,VV,connection,NN,DRV
consequence,NN,effect,NN,QSYN
consequence,NN,impact,NN,QSYN
conservation,NN,conserve,VV,DRV
conservation,,conserve,,FRM
conservation,NN,preservation,NN,QSYN
conservation,,preserve,,FRM
conservation,NN,protection,NN,QSYN
conserve,VV,conservation,NN,DRV
conserve,,conservation,,FRM
conserve,VV,preserve,VV,QSYN
conserve,,preserve,,FRM
conserve,VV,protect,VV,QSYN
consume,VV,consumption,NN,DRV
consume,,consumption,,FRM
consumer,NN,owner,NN,QSYN
consumer,NN,user,NN,QSYN
consumption,NN,consume,VV,DRV
consumption,,consume,,FRM
container,NN,bin,NN,QSYN
container,NN,vessel,NN,QSYN
contaminate,,acidification,,FRM
contaminate,VV,acidify,VV,QSYN
contaminate,,acidify,,FRM
contaminate,VV,contamination,NN,DRV
contaminate,VV,pollute,VV,QSYN
contaminate,,pollute,,FRM
contaminated,JJ,polluted,JJ,QSYN
contaminated,,polluted,,FRM
conversion,NN,convert,VV,DRV
conversion,,convert,,FRM
conversion,,hybridization,,FRM
conversion,,transform,,FRM
convert,VV,conversion,NN,DRV
convert,,conversion,,FRM
convert,,hybridization,,FRM
convert,VV,transform,VV,QSYN
convert,,transform,,FRM
cool,,cold,,FRM
cool,VV,cooling,NN,DRV
cool,,cooling,,FRM
cool,JJ,temperate,JJ,QSYN
cool,,temperature,,FRM
cool,VV,warm,VV,ANTI
cool,,warm,,FRM
cool,,warming,,FRM
cooling,NN,cool,VV,DRV
cooling,,cool,,FRM
cooling,,warm,,FRM
cooling,NN,warming,NN,ANTI
cooling,,warming,,FRM
cover,NN,canopy,NN,QSYN
cultivate,,agriculture,,FRM
cultivate,VV,cultivation,NN,DRV
cultivate,VV,farm,VV,QSYN
cultivate,VV,plant,VV,QSYN
current,NN,flow,NN,QSYN
current,NN,wave,NN,QSYN
cyclone,NN,event,NN,HYP
cyclone,NN,hurricane,NN,QSYN
cyclone,,hurricane,,FRM
cyclone,NN,storm,NN,QSYN
cyclone,,storm,,FRM
cyclone,,thunderstorm,,FRM
cyclone,NN,tornado,NN,QSYN
cyclone,,tornado,,FRM
cyclone,,tsunami,,FRM
cyclone,NN,typhoon,NN,QSYN
dam,NN,barrage,NN,QSYN
dam,NN,reservoir,NN,QSYN
damage,VV,alter,VV,QSYN
damage,,degradation,,FRM
damage,VV,degrade,VV,QSYN
damage,,degrade,,FRM
decline,,decrease,,FRM
decline,VV,disappear,VV,QSYN
decline,NN,extinction,NN,QSYN
decline,VV,grow,VV,ANTI
decline,,grow,,FRM
decline,,growth,,FRM
decline,VV,increase,VV,ANTI
decline,,increase,,FRM
decline,NN,loss,NN,QSYN
decline,,rise,,FRM
decomposition,NN,decompose,VV,DRV
decrease,VV,decline,VV,QSYN
decrease,,decline,,FRM
decrease,NN,degradation,NN,QSYN
decrease,NN,expansion,NN,ANTI
decrease,VV,grow,VV,ANTI
decrease,,grow,,FRM
decrease,,growth,,FRM
decrease,VV,increase,VV,ANTI
decrease,,increase,,FRM
decrease,VV,intensify,VV,ANTI
decrease,VV,mitigate,VV,QSYN
decrease,VV,reduce,VV,QSYN
decrease,,reduce,,FRM
decrease,NN,reduction,NN,QSYN
decrease,,reduction,,FRM
decrease,VV,rise,VV,ANTI
decrease,,rise,,FRM
deforest,VV,clear,VV,QSYN
deforest,,clear,,FRM
deforest,,clearing,,FRM
deforest,VV,deforestation,NN,DRV
deforest,,deforestation,,FRM
deforest,VV,reforest,VV,ANTI
deforestation,NN,afforestation,NN,ANTI
deforestation,,clear,,FRM
deforestation,NN,clearing,NN,QSYN
deforestation,,clearing,,FRM
deforestation,NN,deforest,VV,DRV
deforestation,,deforest,,FRM
deforestation,NN,desertification,NN,QSYN
deforestation,NN,reforestation,NN,ANTI
degradation,,damage,,FRM
degradation,NN,degrade,VV,DRV
degradation,,degrade,,FRM
degradation,NN,desertification,NN,QSYN
degradation,NN,deterioration,NN,QSYN
degrade,VV,alter,VV,QSYN
degrade,VV,damage,VV,QSYN
degrade,,damage,,FRM
degrade,VV,degradation,NN,DRV
degrade,,degradation,,FRM
deplete,VV,depletion,NN,DRV
deplete,,depletion,,FRM
depletion,NN,deplete,VV,DRV
depletion,,deplete,,FRM
deposit,VV,deposition,NN,DRV
deposition,NN,deposit,VV,DRV
desertification,NN,degradation,NN,QSYN
desertification,NN,drought,NN,QSYN
development,,industrialization,,FRM
development,,urbanization,,FRM
diesel,NN,fuel,NN,HYP
diesel,NN,gasoline,NN,QSYN
digestion,NN,digest,VV,DRV
disappear,VV,decline,VV,QSYN
disappear,VV,disappearance,NN,DRV
disappear,,disappearance,,FRM
disappear,,extinction,,FRM
disappear,,loss,,FRM
disappear,,shortage,,FRM
disappearance,NN,decline,NN,QSYN
disappearance,NN,disappear,VV,DRV
disappearance,,disappear,,FRM
disappearance,NN,extinction,NN,QSYN
disappearance,,extinction,,FRM
disappearance,NN,loss,NN,QSYN
disappearance,,loss,,FRM
disappearance,,shortage,,FRM
disaster,NN,flood,NN,HYP
disaster,NN,tornado,NN,HYP
discard,,disposal,,FRM
discard,VV,dispose,VV,QSYN
discard,,dispose,,FRM
discard,VV,eliminate,VV,QSYN
discard,VV,recover,VV,ANTI
discard,VV,recycle,VV,ANTI
discard,VV,reuse,VV,ANTI
discharge,VV,charge,VV,ANTI
discharge,VV,recharge,VV,ANTI
disposal,,discard,,FRM
disposal,NN,dispose,VV,DRV
disposal,,dispose,,FRM
disposal,NN,recycling,NN,ANTI
disposal,NN,reuse,NN,ANTI
dispose,VV,discard,VV,QSYN
dispose,,discard,,FRM
dispose,VV,disposal,NN,DRV
dispose,,disposal,,FRM
dispose,VV,eliminate,VV,QSYN
dispose,VV,landfill,VV,QSYN
dispose,VV,recover,VV,ANTI
dispose,VV,recycle,VV,ANTI
dispose,VV,reuse,VV,ANTI
distance,NN,journey,NN,QSYN
distance,NN,route,NN,QSYN
distance,NN,trip,NN,QSYN
diversity,NN,biodiversity,NN,HYP
drive,VV,driving,NN,DRV
drive,VV,ride,VV,QSYN
drive,,ride,,FRM
drive,VV,run,VV,QSYN
drive,VV,travel,VV,QSYN
drive,,travel,,FRM
driver,NN,owner,NN,QSYN
driver,NN,passenger,NN,ANTI
driver,NN,user,NN,HYP
drought,NN,desertification,NN,QSYN
drought,NN,event,NN,HYP
drought,NN,flood,NN,ANTI
earth,NN,globe,NN,QSYN
earth,NN,planet,NN,QSYN
earthquake,NN,disaster,NN,HYP
earthquake,NN,event,NN,HYP
earthquake,NN,seismic,JJ,DRV
earthquake,NN,storm,NN,QSYN
earthquake,NN,tsunami,NN,QSYN
ecological,JJ,environmental,JJ,QSYN
ecosystem,NN,biome,NN,QSYN
ecosystem,NN,mangrove,NN,HYP
ecosystem,NN,tundra,NN,HYP
effect,,affect,,FRM
effect,NN,impact,NN,QSYN
effect,,impact,,FRM
effect,NN,influence,NN,QSYN
effect,,influence,,FRM
efficiency,NN,effectiveness,NN,QSYN
efficiency,NN,efficacy,NN,QSYN
electric,JJ,electrical,JJ,QSYN
electric,JJ,electricity,NN,DRV
electrical,JJ,electric,JJ,QSYN
electrical,JJ,electricity,NN,DRV
electrical,JJ,hydroelectric,JJ,QSYN
electricity,NN,electrical,JJ,DRV
electricity,NN,power,NN,QSYN
emission,NN,absorption,NN,ANTI
emission,NN,emit,VV,DRV
emission,,emit,,FRM
emission,,inject,,FRM
emission,,radiate,,FRM
emission,,release,,FRM
emission,NN,uptake,NN,ANTI
emit,VV,absorb,VV,ANTI
emit,VV,emission,NN,DRV
emit,,emission,,FRM
emit,,inject,,FRM
emit,,radiate,,FRM
emit,VV,release,VV,QSYN
emit,,release,,FRM
endanger,VV,threaten,VV,QSYN
endanger,,threaten,,FRM
energy,NN,electricity,NN,QSYN
energy,NN,heat,NN,QSYN
engine,NN,motor,NN,QSYN
environment,NN,environmental,JJ,DRV
environmental,,clean,,FRM
environmental,JJ,ecological,JJ,QSYN
environmental,JJ,environment,NN,DRV
environmental,,green,,FRM
erode,VV,erosion,NN,DRV
erosion,NN,erode,VV,DRV
erosion,,retreat,,FRM
eruption,NN,erupt,VV,DRV
estimate,VV,calculate,VV,QSYN
estimate,VV,estimation,NN,DRV
estimate,,estimation,,FRM
estimation,NN,calculation,NN,QSYN
estimation,NN,estimate,VV,DRV
estimation,,estimate,,FRM
ethanol,NN,biofuel,NN,HYP
ethanol,NN,fuel,NN,HYP
ethanol,NN,gas,NN,QSYN
ethanol,NN,hydrogen,NN,QSYN
ethanol,NN,petroleum,NN,QSYN
evaporate,VV,evaporation,NN,DRV
evaporate,,evaporation,,FRM
evaporate,,evapotranspiration,,FRM
evaporation,NN,evaporate,VV,DRV
evaporation,,evaporate,,FRM
evaporation,NN,evapotranspiration,NN,QSYN
evaporation,,evapotranspiration,,FRM
evaporation,NN,precipitation,NN,ANTI
evapotranspiration,,evaporate,,FRM
evapotranspiration,NN,evaporation,NN,QSYN
evapotranspiration,,evaporation,,FRM
evapotranspiration,NN,transpiration,NN,QSYN
event,NN,activity,NN,QSYN
event,NN,drought,NN,HYP
event,NN,flood,NN,HYP
event,NN,hurricane,NN,HYP
event,NN,storm,NN,HYP
extended,JJ,limited,JJ,ANTI
extinct,JJ,endangered,JJ,QSYN
extinct,JJ,threatened,JJ,QSYN
extinct,JJ,vulnerable,JJ,QSYN
extinction,NN,decline,NN,QSYN
extinction,,disappear,,FRM
extinction,,disappearance,,FRM
extinction,NN,loss,NN,QSYN
extinction,,loss,,FRM
extinction,,shortage,,FRM
extract,VV,extraction,NN,DRV
extreme,JJ,intense,JJ,QSYN
extreme,,intense,,FRM
extreme,,intensity,,FRM
extreme,JJ,severe,JJ,QSYN
extreme,,severe,,FRM
extreme,,severity,,FRM
farm,VV,cultivate,VV,QSYN
farm,VV,farming,NN,DRV
farming,NN,agriculture,NN,QSYN
fauna,NN,flora,NN,ANTI
feedback,NN,effect,NN,QSYN
feedback,NN,impact,NN,QSYN
fire,NN,event,NN,HYP
flood,NN,event,NN,HYP
flood,NN,flooding,NN,QSYN
flood,NN,inundation,NN,QSYN
flow,NN,current,NN,QSYN
flow,NN,distribution,NN,QSYN
flow,NN,flux,NN,QSYN
flow,NN,transfer,NN,QSYN
flow,NN,transmission,NN,QSYN
flow,NN,wave,NN,QSYN
fluctuate,VV,change,VV,QSYN
fluctuate,,change,,FRM
fluctuate,VV,fluctuation,NN,DRV
fluctuate,,fluctuation,,FRM
fluctuate,,shift,,FRM
fluctuate,,variation,,FRM
fluctuate,VV,vary,VV,QSYN
fluctuate,,vary,,FRM
fluctuation,NN,change,NN,QSYN
fluctuation,,change,,FRM
fluctuation,NN,fluctuate,VV,DRV
fluctuation,,fluctuate,,FRM
fluctuation,,shift,,FRM
fluctuation,NN,variation,NN,QSYN
fluctuation,,variation,,FRM
fluctuation,,vary,,FRM
forecast,,predict,,FRM
forecast,,project,,FRM
forecast,,projection,,FRM
forest,NN,ecosystem,NN,HYP
forest,NN,woodland,NN,QSYN
fossil,JJ,renewable,JJ,ANTI
fragile,JJ,vulnerable,JJ,QSYN
fragmentation,NN,fragment,VV,DRV
freeze,VV,freezing,NN,DRV
freeze,,frost,,FRM
freeze,VV,melt,VV,ANTI
freeze,,melt,,FRM
freeze,,melting,,FRM
freeze,VV,thaw,VV,ANTI
freeze,,thaw,,FRM
frost,,freeze,,FRM
frost,,melt,,FRM
frost,,melting,,FRM
frost,,thaw,,FRM
fuel,NN,biodiesel,NN,HYP
fuel,NN,biofuel,NN,HYP
fuel,VV,charge,VV,QSYN
fuel,NN,coal,NN,QSYN
fuel,NN,diesel,NN,HYP
fuel,NN,gasoline,NN,HYP
furnace,NN,incinerator,NN,QSYN
garage,NN,parking,NN,QSYN
gas,NN,ozone,NN,HYP
gasoline,NN,diesel,NN,QSYN
gasoline,NN,fuel,NN,HYP
gasoline,NN,gas,NN,QSYN
gasoline,NN,hydrocarbon,NN,QSYN
geothermal,JJ,hydroelectric,JJ,QSYN
geothermal,JJ,nuclear,JJ,QSYN
glacier,NN,permafrost,NN,QSYN
global,JJ,local,JJ,ANTI
global,JJ,regional,JJ,ANTI
global,JJ,worldwide,JJ,QSYN
globe,NN,planet,NN,QSYN
government,NN,municipality,NN,QSYN
green,JJ,alternative,JJ,QSYN
green,JJ,clean,JJ,QSYN
green,,clean,,FRM
green,,environmental,,FRM
green,JJ,pure,JJ,QSYN
green,JJ,smart,JJ,QSYN
grid,NN,station,NN,QSYN
grow,VV,decline,VV,ANTI
grow,,decline,,FRM
grow,VV,decrease,VV,ANTI
grow,,decrease,,FRM
grow,VV,growth,NN,DRV
grow,,growth,,FRM
grow,VV,increase,VV,QSYN
grow,,increase,,FRM
grow,VV,rise,VV,QSYN
grow,,rise,,FRM
growth,,decline,,FRM
growth,,decrease,,FRM
growth,NN,grow,VV,DRV
growth,,grow,,FRM
growth,NN,increase,NN,QSYN
growth,,increase,,FRM
growth,NN,rise,NN,QSYN
growth,,rise,,FRM
harmful,JJ,beneficial,JJ,ANTI
harmful,JJ,endangered,JJ,ANTI
harmful,JJ,harmless,JJ,ANTI
harmful,,hazard,,FRM
harmful,JJ,hazardous,JJ,QSYN
harmful,,hazardous,,FRM
harmful,,threat,,FRM
harmful,JJ,threatened,JJ,ANTI
harmful,JJ,toxic,JJ,QSYN
hazard,NN,danger,NN,QSYN
hazard,,harmful,,FRM
hazard,,hazardous,,FRM
hazard,NN,risk,NN,QSYN
hazard,NN,threat,NN,QSYN
hazard,,threat,,FRM
hazardous,JJ,dangerous,JJ,QSYN
hazardous,JJ,harmful,JJ,QSYN
hazardous,,harmful,,FRM
hazardous,,hazard,,FRM
hazardous,,threat,,FRM
hazardous,JJ,toxic,JJ,QSYN
heat,NN,energy,NN,QSYN
heat,VV,heating,NN,DRV
heat,VV,warm,VV,QSYN
heating,NN,heat,VV,DRV
heavy,JJ,light,JJ,ANTI
highway,NN,infrastructure,NN,HYP
highway,NN,road,NN,QSYN
hot,JJ,heat,NN,DRV
human,JJ,anthropogenic,JJ,QSYN
human,JJ,natural,JJ,ANTI
humid,JJ,dry,JJ,ANTI
humid,JJ,moist,JJ,QSYN
humid,JJ,wet,JJ,QSYN
hurricane,NN,cyclone,NN,QSYN
hurricane,,cyclone,,FRM
hurricane,NN,event,NN,HYP
hurricane,NN,storm,NN,QSYN
hurricane,,storm,,FRM
hurricane,,thunderstorm,,FRM
hurricane,NN,tornado,NN,QSYN
hurricane,,tornado,,FRM
hurricane,,tsunami,,FRM
hurricane,NN,typhoon,NN,QSYN
hybrid,JJ,pure,JJ,ANTI
hybrid,NN,vehicle,NN,HYP
hybridization,,conversion,,FRM
hybridization,,convert,,FRM
hybridization,,transform,,FRM
hydroelectric,JJ,electrical,JJ,QSYN
hydroelectric,JJ,hydropower,NN,DRV
